ID,名字,稱號,稀有度,屬性,武器種類,國別,性別,年齡,HP(Max),攻撃力(Max),攻擊體數,攻撃段數,攻擊距離,攻撃間隔,移動速度,韌性,成長,DPS,DPS(Total),火補正,水補正,風補正,光補正,暗補正
41044,ゼグダ,路を示す一射,4,炎,弓矢,常夏の国,男,29,5916,11367,2,2,165,2.65,45,47,晩成,4289,8579,100,69,145,100,100
41045,マルスリーヌ,恕闘の焰槍,4,炎,突撃,死者の国,女,35,11145,6573,2,1,15,2.65,46,77,晩成,2480,4961,100,80,125,100,100
41046,シャシャ,不可侵の書架,4,炎,回復,妖精の国,女,?,4740,9865,2,2,145,2.77,50,27,平均,3561,7123,140,100,100,100,100
41047,レオ,盤上の騎士王,4,炎,斬撃,あんスタの国,男,18,11610,8335,1,2,15,2.55,50,75,平均,3269,3269,100,67,150,100,100
41048,アレク,英雄を萌す者,4,炎,打撃,王国,男,11,9434,7600,1,1,40,2.11,71,67,早熟,3602,3602,100,67,150,100,100
41049,グレイブ,悲哀絶つ双鋏,4,炎,斬撃,死者の国,男,27,8110,7430,2,1,22,2.19,54,59,平均,3393,6785,100,69,145,100,100
41050,カニャルナ,懐旧の彩蟹,4,炎,突撃,常夏の国,女,18,7737,8859,1,5,14,1.62,70,53,晩成,5469,5469,100,58,175,100,100
41051,ルオシャ,忠焔の武大将,4,炎,斬撃,少数民族の国,女,22,7487,8886,2,2,25,2.29,66,51,早熟,3880,7761,100,65,155,100,100
41052,ザップ,焔神宿す片血,4,炎,斬撃,血界戦線の国,男,24,9056,13480,1,1,30,2.77,56,42,早熟,4866,4866,100,56,180,100,100
41053,ナディエイド,熱燈魂の檄手,4,炎,打撃,雪の国,男,16,9759,9600,2,1,35,3.17,56,52,晩成,3028,6057,100,77,130,100,100
41054,ソリチュア,明晰夢の赫,4,炎,魔法,死者の国,女,13,4329,9462,4,2,180,3.25,43,32,晩成,2911,11646,100,53,190,100,100
41055,ニックス,雪溶かす快足,4,炎,打撃,雪の国,女,16,9793,9434,2,2,35,2.94,69,41,早熟,3209,6418,100,67,150,100,100
41056,ヒューカ,紅蓮の逸品,4,炎,魔法,常夏の国,女,22,5823,10852,3,3,175,3.36,40,44,早熟,3230,9689,100,54,185,100,100
41057,ロンナミア,影月に輝く焔,4,炎,突撃,動物の国,男,22,12460,8365,1,2,15,2.63,48,84,平均,3181,3181,100,77,130,100,100
41058,ティトラ,無解の命題名,4,炎,銃弾,エレキの国,女,?,5615,10840,2,2,160,2.55,52,37,平均,4251,8502,100,77,130,100,100
41059,ルスフェンド,燈明たる導き,4,炎,弓矢,死者の国,男,21,5635,12655,1,2,165,2.52,58,39,平均,5022,5022,100,56,155,100,100
41060,エルダー,爆裂なる筋骨,4,炎,打撃,西部の国,男,70,11640,7740,1,3,15,2.17,49,78,平均,3567,3567,100,59,170,100,100
41061,ヴァライフェ,夢護る凛火,4,炎,突撃,王国,女,24,9555,6785,2,2,25,1.88,64,58,平均,3609,7218,100,67,150,100,100
41062,キャリン,無敵の可愛虎,4,炎,回復,動物の国,女,14,4008,9491,2,3,160,2.56,57,35,早熟,3707,7414,140,100,100,100,100
42001,クリスティア,愛憎の天秤,4,水,打撃,王国,女,17,10785,7980,3,1,25,3.30,57,62,晩成,2418,7255,130,100,77,100,100
42002,ヴィクター,逢魔ヶ時の影,4,水,魔法,死者の国,男,30,5154,9759,4,1,175,3.23,49,31,晩成,3021,12085,170,100,59,100,100
42003,ジン,不羈の剣客,4,水,斬撃,和の国,男,21,9125,14505,1,1,18,3.10,59,39,平均,4679,4679,140,100,71,100,100
42004,つらら,風花の銀影,4,水,斬撃,和の国,女,12,6650,9360,1,3,70,1.58,68,11,平均,5924,5924,140,100,71,100,100
42005,ナジュム,薫香の水操士,4,水,魔法,王国,女,19,4613,8275,3,3,180,2.80,54,27,早熟,2955,8866,180,100,56,100,100
42006,ハロハロ,惑わす遊論者,4,水,銃弾,お菓子の国,女,17,8827,13746,1,5,123,2.83,55,39,晩成,4857,4857,140,100,71,100,100
42007,ユク,封印を解く者,4,水,斬撃,死者の国,女,19,9261,10785,1,1,18,1.97,60,46,晩成,5475,5475,150,100,67,100,100
42008,ラーエン,耽溺する知者,4,水,回復,妖精の国,男,24,5790,7450,3,1,180,2.60,48,33,平均,2865,8596,100,140,100,100,100
42009,ローレン,不夜城の暴君,4,水,突撃,死者の国,女,18,9380,8775,1,1,27,1.85,62,61,平均,4743,4743,140,100,71,100,100
42010,フレッド,天冠す六芒星,4,水,弓矢,空の国,男,13,6276,14109,1,1,160,2.52,60,41,晩成,5599,5599,160,100,63,100,100
42011,チャイム,雨下の闊歩者,4,水,突撃,機械の国,女,13,9420,10425,2,1,45,3.13,60,46,晩成,3331,6661,130,100,77,100,100
42012,エレオノール,泡沫の残夢,4,水,回復,死者の国,女,?,5652,12585,1,5,160,2.40,52,24,晩成,5244,5244,100,140,100,100,100
42013,リンジー,水神を奉る者,4,水,魔法,少数民族の国,女,26,5130,14000,1,4,170,2.50,52,38,平均,5600,5600,170,100,59,100,100
42014,チェレンシー,燦爛の蒼晶砲,4,水,銃弾,科学の国,男,16,7430,7090,4,1,165,3.25,47,45,早熟,2182,8726,130,100,77,100,100
42015,キッケル,葉傘下の雨蛙,4,水,打撃,動物の国,男,12,9075,5401,4,1,27,2.40,58,52,早熟,2250,9002,150,100,67,100,100
42016,キャシー,鞭牙の暴食家,4,水,突撃,常夏の国,女,17,7215,7605,3,3,90,2.34,56,42,平均,3250,9750,140,100,71,100,100
42017,ひめちよ,水弾く碧竹,4,水,銃弾,和の国,女,11,5355,14712,1,1,170,2.70,57,34,晩成,5449,5449,140,100,71,100,100
42018,リン,灯王の血族,4,水,斬撃,砂漠の国,女,15,11640,6980,1,1,15,2.23,54,76,平均,3130,3130,130,100,77,100,110
42019,ガルディ,流浪する孤剣,4,水,打撃,西部の国,男,25,10795,9888,1,1,30,2.69,57,69,早熟,3676,3676,140,100,71,100,100
42020,モナ,蹌踉つく杖,4,水,魔法,恐竜の国,女,11,4720,8110,4,1,165,3.16,46,30,平均,2566,10266,160,100,63,100,100
42021,スー,献身の添い手,4,水,回復,王国,女,6,4197,6617,3,2,145,2.76,44,26,早熟,2397,7192,100,140,100,100,110
42022,リュンリー,降り注ぐ慈雨,4,水,弓矢,少数民族の国,女,26,5874,13929,1,3,170,2.49,52,32,晩成,5594,5594,150,100,67,100,100
42023,フロージア,凍海奔る剛船,4,水,魔法,雪の国,女,27,4840,10795,2,3,160,2.55,55,45,早熟,4233,8467,190,100,53,100,100
42024,ラインハート,貴顕なる徹心,4,水,突撃,科学の国,男,17,7800,10100,1,4,100,2.00,60,55,平均,5050,5050,150,100,67,100,100
42025,ジャントール,夢語りの神仕,4,水,突撃,死者の国,男,33,8054,7298,1,1,20,1.66,59,55,早熟,4396,4396,140,100,71,100,100
42026,スタラッテ,藍夜の愛彩星,4,水,回復,雪の国,男,19,4405,8300,2,1,170,2.75,47,37,早熟,3018,6036,100,140,100,100,100
42027,アイク,魄剣の継ぎ手,4,水,斬撃,死者の国,男,17,12405,7017,1,2,15,1.95,49,81,晩成,3598,3598,140,100,71,100,100
42028,プテラノ,篠突く骨棍雨,4,水,突撃,恐竜の国,男,65,7800,10161,1,3,14,1.89,71,52,晩成,5376,5376,180,100,56,100,100
42029,ゲルトルート,律愛の王女,4,水,突撃,お菓子の国,女,19,12045,7980,1,1,15,2.20,55,82,晩成,3627,3627,130,100,77,100,100
42030,デイヴィッド,燈灯を潤す者,4,水,銃弾,機械の国,男,42,6192,12870,1,1,140,2.55,51,40,晩成,5047,5047,130,100,77,100,100
42031,クリオネット,藍に沈む心臓,4,水,銃弾,常夏の国,女,16,5464,8489,3,2,160,2.50,54,34,早熟,3396,10187,130,100,77,100,100
42032,オルトス,識世の渡り鳥,4,水,突撃,空の国,男,16,7695,7017,3,1,35,2.50,72,48,晩成,2807,8420,150,100,67,100,100
42033,ラユッタ,瀑淵の貝刃,4,水,斬撃,動物の国,女,14,7896,8901,1,2,95,1.92,60,36,晩成,4636,4636,150,100,67,100,100
42034,ダチュリーナ,蒼枯なる祭司,4,水,弓矢,植物の国,女,?,5790,11230,2,2,165,2.55,53,35,平均,4404,8808,150,100,67,100,100
42035,ギフティペペ,秋統べる藍翅,4,水,魔法,妖精の国,男,22,5091,11907,3,2,170,3.35,51,37,晩成,3554,10663,185,100,54,100,100
42036,きららまる,墨潤う妙筆,4,水,弓矢,和の国,男,14,7176,12426,1,2,140,2.46,60,46,晩成,5051,5051,150,100,67,100,100
42037,ガロデ,無瀬の旋嵐斧,4,水,打撃,常夏の国,男,27,9661,8451,2,1,30,2.99,49,59,早熟,2826,5653,135,100,74,100,100
42038,しずめき,瞑目の晦刃,4,水,斬撃,和の国,男,26,7800,9475,2,2,25,2.40,60,55,平均,3948,7896,160,100,63,100,100
42039,ステイクス,夢食む摘み箸,4,水,打撃,魔法の国,男,27,9360,10490,2,2,35,3.07,72,37,平均,3417,6834,145,100,69,100,100
42040,ルピエ,踏鳴らす譜踵,4,水,回復,動物の国,男,23,4594,8848,1,3,180,2.32,49,42,早熟,3813,3813,110,140,110,100,100
42041,オフィシア,護判の律弾,4,水,銃弾,科学の国,女,23,5388,10020,2,1,170,2.41,47,41,早熟,4158,8315,135,100,74,100,100
42042,シャム,珠釣る賢猫,4,水,銃弾,動物の国,女,26,6085,9360,4,1,175,3.42,42,40,平均,2737,10947,130,100,77,100,100
42043,チリッカ,玻璃の魔靴,4,水,突撃,魔法の国,女,11,6409,8186,1,1,11,1.67,72,41,早熟,4902,4902,160,100,63,100,100
42044,ステラ,星を繋ぐ者,4,水,弓矢,王国,女,21,5050,12460,1,1,170,2.30,55,40,平均,5417,5417,150,100,67,100,100
42045,エト,智を求める者,4,水,斬撃,妖精の国,男,10,7695,9864,1,2,115,1.95,56,40,晩成,5058,5058,160,100,63,100,100
42046,メルローゼン,妃鍵の門番,4,水,斬撃,植物の国,女,?,7800,9750,1,3,20,1.90,80,40,平均,5132,5132,150,100,67,100,100
42047,いずみ,泡沫の夢花火,4,水,魔法,あんスタの国,男,18,6806,12610,1,5,150,2.57,51,48,早熟,4907,4907,165,100,61,100,100
42048,ユイリア,貫志なる護矢,4,水,弓矢,王国,女,14,5493,10923,2,1,175,2.58,61,40,晩成,4234,8467,150,100,67,100,100
42049,ひいらぎ,紡ぎし裁定,4,水,打撃,和の国,男,19,10606,6693,3,3,35,3.05,52,68,早熟,2194,6583,150,100,67,100,100
42050,ルフレイエ,篇章者の忠順,4,水,魔法,空の国,女,24,5652,14511,1,1,185,2.56,62,36,晩成,5668,5668,185,100,54,100,100
42051,シャハーユ,禁秘なる胸臆,4,水,銃弾,砂漠の国,女,21,5695,11115,2,2,130,2.66,61,36,平均,4179,8357,145,100,69,100,100
42052,キオ,繊月の奇術師,4,水,弓矢,魔法の国,男,18,5514,8838,3,1,170,2.72,54,37,晩成,3249,9748,130,100,77,100,100
42053,オレガノ,薬草追う銃士,4,水,銃弾,西部の国,男,32,5130,14330,1,1,165,2.88,49,49,平均,4976,4976,135,100,74,100,100
42054,シャーレリ,縁究明す純水,4,水,回復,科学の国,女,19,3940,10295,2,2,175,2.66,52,38,平均,3870,7741,100,140,100,100,100
42055,アズール,美学追う碧,4,水,弓矢,魔法の国,男,17,6787,8300,3,1,135,2.76,55,43,早熟,3007,9022,150,100,67,100,100
42056,スティーブン,凍てつく傷貌,4,水,突撃,血界戦線の国,男,32,7545,8325,2,3,100,2.24,52,52,平均,3717,7433,180,100,56,100,100
42057,エードルフ,開け放つ翔翼,4,水,打撃,空の国,男,22,9495,8520,1,1,30,2.16,65,54,平均,3944,3944,140,100,71,100,100
42058,ミスチフ,挟罠の我儘者,4,水,魔法,機械の国,男,21,7038,9600,3,1,140,2.93,53,32,晩成,3276,9829,180,100,56,100,100
42059,アーデ,凛花なる護刃,4,水,斬撃,王国,女,18,13375,6280,1,1,15,2.14,46,82,平均,2935,2935,125,100,80,100,100
42060,リッカリリィ,追想する魔改,4,水,銃弾,魔法の国,女,27,6213,13791,1,3,160,2.58,53,39,晩成,5345,5345,155,100,65,100,100
42061,シェルフィー,海籠の水庭師,4,水,魔法,常夏の国,女,18,5493,9822,2,2,140,2.68,49,40,晩成,3665,7330,185,100,54,100,100
42062,キーリ,冬渡る雨翅,4,水,弓矢,妖精の国,女,15,5451,8499,3,1,155,2.67,62,31,晩成,3183,9549,160,100,63,100,100
42063,リッチー,調剤の極彩色,4,水,銃弾,科学の国,女,19,5133,12669,1,1,130,2.26,59,35,晩成,5606,5606,135,100,74,100,100
42064,アムレット,篤信なる祈蹟,4,水,回復,死者の国,女,25,4614,7218,4,1,165,2.54,47,32,晩成,2842,11367,100,140,100,100,100
42065,オルガ,蒼美の薔薇棘,4,水,突撃,植物の国,女,18,7695,7695,3,1,105,2.52,63,31,晩成,3054,9162,140,100,71,100,100
42066,ルクア,想慕の青藍槍,4,水,突撃,死者の国,女,16,9303,9102,2,1,40,2.79,67,41,晩成,3262,6524,145,100,69,100,100
42067,コモーツィ,溢れ出る喜び,4,水,打撃,魔法の国,男,12,6258,8186,3,1,95,2.57,55,48,早熟,3185,9555,160,100,63,100,100
42068,ニコ,海冠の愛王子,4,水,魔法,常夏の国,男,20,6220,13650,1,2,165,2.67,56,30,早熟,5112,5112,190,100,53,100,100
43001,アイリーン,玲瓏の碧水晶,4,風,魔法,魔法の国,女,16,4525,9300,3,3,160,3.05,45,35,平均,3049,9148,59,170,100,100,100
43002,アロイス,臆した飛翔,4,風,斬撃,魔法の国,男,28,9462,11505,1,1,110,2.40,52,52,晩成,4794,4794,77,150,115,100,100
43003,シルビア,執心の棘姫,4,風,弓矢,植物の国,女,20,6192,13548,1,1,160,2.36,57,43,晩成,5741,5741,63,160,100,100,100
43004,ジャスミン,森羅の愛し子,4,風,魔法,動物の国,女,10,5535,13167,2,2,165,2.82,58,23,晩成,4669,9338,56,180,100,100,100
43005,セラム,冴ゆる忠臣,4,風,突撃,空の国,女,21,10140,10140,1,3,18,2.15,71,59,晩成,4716,4716,67,150,100,100,100
43006,ナナリー,疾風の鞭使い,4,風,突撃,西部の国,女,16,7260,6655,3,1,100,2.30,58,36,早熟,2893,8680,71,140,100,100,100
43007,リフリス,峻烈の騎士,4,風,斬撃,王国,男,17,12870,8880,1,1,15,2.50,53,74,晩成,3552,3552,83,120,100,100,100
43008,ロニセラ,獣に交じる者,4,風,突撃,動物の国,男,16,9475,4740,5,1,35,2.40,68,69,平均,1975,9875,71,140,100,100,100
43009,エアハルト,心裡の暴き手,4,風,銃弾,科学の国,男,29,5710,12780,1,1,160,2.38,53,38,早熟,5370,5370,71,140,100,100,100
43010,ホイップ,世情の攪拌者,4,風,打撃,お菓子の国,女,16,10060,6670,4,1,25,3.08,52,58,平均,2166,8662,77,130,100,100,100
43011,ミーリャ,君寵の忠銃,4,風,銃弾,雪の国,女,12,7071,8186,4,1,170,3.23,50,44,早熟,2534,10137,77,130,100,100,100
43012,オルニシア,麗晶の寵愛者,4,風,斬撃,動物の国,女,22,8950,9885,1,2,20,2.20,63,52,平均,4493,4493,71,140,100,100,100
43013,ハルモニカ,天空の奏者,4,風,回復,空の国,女,12,4974,7737,3,1,175,2.34,57,28,晩成,3306,9919,100,100,140,100,100
43014,ゼフュロダイ,地を知る者,4,風,突撃,妖精の国,男,34,9822,10806,2,1,40,2.99,61,49,晩成,3614,7228,63,160,100,100,100
43015,アーミャ,衣繍の縫い手,4,風,弓矢,砂漠の国,女,15,6297,10764,3,1,165,3.07,53,38,晩成,3506,10519,71,140,100,100,100
43016,アブサン,神教を説く者,4,風,銃弾,死者の国,男,28,8305,7915,4,1,165,3.66,46,48,平均,2163,8650,77,130,100,100,100
43017,パニャン,星彩の飾笹槍,4,風,突撃,動物の国,女,17,11660,8305,1,1,15,2.30,54,81,平均,3611,3611,77,130,100,100,100
43018,ルスティ,研鑽の魔導士,4,風,斬撃,魔法の国,男,17,7865,7695,1,1,100,1.77,57,49,早熟,4347,4347,80,140,112,100,100
43019,ライフィーネ,草環の廻し手,4,風,銃弾,植物の国,女,26,7915,13530,1,5,125,2.72,53,45,平均,4974,4974,71,140,100,100,100
43020,リイリ,緑岐に立つ者,4,風,斬撃,動物の国,女,16,8076,7938,2,1,18,2.24,64,58,晩成,3544,7088,67,150,100,100,100
43021,ゲイル,風靡する想歌,4,風,打撃,エレキの国,男,19,10625,8300,3,3,35,3.55,55,70,早熟,2338,7014,67,150,100,100,100
43022,アルミナ,高邁なる才女,4,風,打撃,科学の国,女,19,9085,11230,1,1,30,2.83,52,54,平均,3968,3968,71,140,100,100,100
43023,メアモミカ,奏詞の歌姫,4,風,魔法,王国,女,24,4670,13820,1,4,175,2.58,50,35,早熟,5357,5357,56,180,100,100,100
43024,ヴァレリー,豪刀の追風,4,風,突撃,雪の国,男,21,7040,8015,1,1,105,1.74,58,56,平均,4606,4606,71,140,100,100,100
43025,ミラ,精霊の主,4,風,斬撃,アスタリアの世界,女,20,8305,8580,1,2,90,1.91,59,47,平均,4492,4492,88,120,106,100,100
43026,リービット,風紀を守る者,4,風,魔法,動物の国,男,17,4443,8413,4,1,170,2.81,47,41,早熟,2994,11976,59,170,100,100,100
43027,コンフィ,秘志の懐刀,4,風,突撃,お菓子の国,男,13,8678,7392,3,1,35,2.83,57,53,早熟,2612,7836,71,140,100,100,100
43028,チェリーピケ,双牙の鮫姫,4,風,打撃,常夏の国,女,19,11095,10080,2,1,22,3.41,59,59,平均,2956,5912,69,145,100,100,100
43029,バンダージェ,懐抱く頭蓋骨,4,風,銃弾,死者の国,男,?,6234,10404,2,2,140,2.44,49,44,晩成,4264,8528,71,140,100,100,100
43030,ポラカ,醒嵐の彩輪牙,4,風,斬撃,恐竜の国,女,10,7057,8065,2,2,22,2.02,69,49,早熟,3993,7985,63,160,100,100,100
43031,ヴェルデ,堰楯の鎧騎士,4,風,突撃,王国,男,18,13029,8679,1,2,15,2.80,43,88,晩成,3100,3100,83,120,100,100,100
43032,ガイ,鱗殻の異貌,4,風,弓矢,科学の国,男,22,7740,12165,1,1,140,2.45,49,55,平均,4965,4965,67,150,100,100,100
43033,ベネデット,酷烈なる真心,4,風,打撃,死者の国,男,26,8365,7995,2,1,100,2.45,47,53,平均,3263,6527,71,140,100,100,100
43034,ルオマール,果てない自由,4,風,魔法,常夏の国,男,25,5091,12045,3,2,175,3.32,52,46,晩成,3628,10884,54,185,100,100,100
43035,トイフェル,双刃の寡翼,4,風,打撃,空の国,男,15,11230,7955,2,1,15,2.85,52,77,平均,2791,5582,71,140,100,100,100
43036,フィーリア,芽吹く翠風,4,風,回復,王国,女,11,3668,6655,2,2,175,2.23,51,47,早熟,2984,5969,110,110,140,110,100
43037,ヨルルタ,風読みの巫師,4,風,魔法,西部の国,女,19,7017,10563,2,3,140,2.62,61,28,晩成,4032,8063,58,175,100,100,100
43038,シュクレーレ,翠眼の飴匠,4,風,弓矢,お菓子の国,男,15,5520,8305,3,1,160,2.58,48,41,平均,3219,9657,74,135,100,100,100
43039,ファンタジア,双眼の碧翠晶,4,風,回復,エレキの国,女,?,5804,11627,1,4,140,2.62,56,45,早熟,4438,4438,100,100,140,100,100
43040,スレイヤ,忠愛の黒眼帯,4,風,突撃,死者の国,男,29,7052,7411,2,3,95,1.99,49,54,早熟,3724,7448,67,150,100,100,100
43041,サディク,夜廻る砂風,4,風,弓矢,砂漠の国,男,24,5483,11041,2,2,160,2.63,49,45,早熟,4198,8396,69,145,100,100,100
43042,アルルジーナ,撲ち蔽う三葉,4,風,打撃,魔法の国,女,18,12265,9845,1,2,15,2.85,47,80,平均,3454,3454,77,130,100,100,100
43043,メイリーシャ,宙に漂う音色,4,風,回復,植物の国,女,13,4911,10902,1,4,160,2.58,51,27,晩成,4226,4226,100,100,140,100,100
43044,こひばり,風を追う忍び,4,風,銃弾,和の国,男,13,6435,8298,3,2,110,2.58,65,25,晩成,3216,9649,74,135,100,100,100
43045,パルシャ,誰が為の涙,4,風,斬撃,砂漠の国,女,16,7298,7903,2,2,105,2.10,58,42,早熟,3763,7527,65,155,100,100,100
43046,あらし,白銀の聖騎士,4,風,回復,あんスタの国,男,16,4855,7720,3,2,170,2.63,47,53,平均,2935,8806,110,110,140,110,110
43047,アーティス,心奪なる真実,4,風,魔法,王国,女,15,5305,11815,3,3,170,3.48,42,40,平均,3395,10185,58,175,100,100,100
43048,いざよい,曇らぬ十六夜,4,風,斬撃,和の国,男,27,9018,10521,1,1,18,2.39,62,60,晩成,4402,4402,69,145,100,100,100
43049,チック,白花冠の返礼,4,風,弓矢,妖精の国,女,14,4613,9850,1,1,150,2.11,70,31,早熟,4668,4668,67,150,100,100,100
43050,ジャンゴ,荒野の英雄,4,風,銃弾,西部の国,男,30,5634,9472,2,1,155,2.37,56,49,早熟,3997,7993,65,155,100,100,100
43051,レウェナ,彩恋狩る投擲,4,風,弓矢,恐竜の国,女,15,5460,10335,2,1,165,2.66,52,35,平均,3885,7771,74,135,100,100,100
43052,アザリアス,遠覧する愛心,4,風,魔法,空の国,男,23,6845,12575,1,5,140,2.52,52,43,平均,4990,4990,58,175,100,100,100
43053,レオナルド,神々の義眼,4,風,魔法,血界戦線の国,男,19,4710,10404,2,3,170,2.49,48,41,晩成,4178,8357,54,188,100,100,100
43054,メロロティア,花鍵の碧風蝶,4,風,斬撃,妖精の国,女,15,11608,9453,1,2,15,2.68,55,73,早熟,3527,3527,80,125,100,100,100
43055,ローリエル,恵愛の翠月桂,4,風,打撃,植物の国,女,?,6045,8970,2,2,110,2.22,58,39,平均,4041,8081,69,145,100,100,100
43056,ティヴェル,探郷の蓬髪,4,風,弓矢,動物の国,女,20,6617,9604,2,1,140,2.62,48,45,早熟,3666,7331,71,140,100,100,100
43057,アルフレド,指南する魔槌,4,風,打撃,魔法の国,男,25,10455,5502,4,1,15,3.41,48,79,早熟,1613,6454,69,145,100,100,100
43058,ヴァンバト,順風起す扇,4,風,魔法,常夏の国,男,18,5388,13215,1,1,180,2.46,57,38,早熟,5372,5372,56,180,100,100,100
43059,プレネア,契愛包む真綿,4,風,回復,植物の国,女,15,4680,11580,1,6,175,2.24,53,39,平均,5170,5170,100,100,140,100,100
43060,エルリィネ,翠愛の花冠,4,風,魔法,死者の国,女,13,4613,9793,3,1,175,3.22,53,28,早熟,3041,9123,58,175,100,100,100
43061,シェルミン,熟眠なる大楯,4,風,突撃,雪の国,女,17,12267,6858,3,1,15,3.22,47,84,晩成,2130,6390,74,135,100,100,100
44001,エストレシア,苛烈なる正義,4,光,銃弾,常夏の国,女,26,5500,13025,1,1,175,2.35,50,45,平均,5543,5543,89,89,89,100,150
44002,グラジニオ,虚実の繰り手,4,光,斬撃,植物の国,男,27,11627,8583,1,2,15,2.58,48,78,早熟,3327,3327,94,94,94,100,120
44003,シエット,進撃の槍使い,4,光,突撃,王国,女,15,6050,3479,3,1,35,1.99,65,56,早熟,1748,5245,89,89,89,100,150
44004,ショコラ,夢見るお姫様,4,光,回復,お菓子の国,女,14,5535,10425,2,1,160,2.25,55,22,晩成,4633,9267,100,100,100,140,100
44005,パトリシア,鋭鋒の愛待人,4,光,打撃,雪の国,女,28,10285,10020,1,1,27,2.80,55,63,早熟,3579,3579,94,94,94,100,120
44006,フウ,空駆ける翼,4,光,魔法,空の国,女,18,4875,12575,2,1,160,2.90,63,17,平均,4336,8672,85,85,85,100,180
44007,やまぶき,睥睨の風雲児,4,光,斬撃,和の国,男,32,9945,13220,1,1,20,2.92,54,60,平均,4527,4527,89,89,89,100,150
44008,シルキー,風紀を制す者,4,光,魔法,魔法の国,女,12,5355,12288,3,1,170,3.39,51,30,晩成,3625,10874,86,86,86,100,170
44009,リュナリュナ,弄隷な傀儡士,4,光,突撃,魔法の国,男,19,8904,8904,3,1,90,3.21,50,40,平均,2774,8321,90,90,90,100,140
44010,グイム,星屑の道化師,4,光,銃弾,魔法の国,男,?,7260,10625,1,2,135,2.00,63,20,早熟,5313,5313,90,90,90,100,140
44011,リューシュ,蜜針の蜂妖精,4,光,魔法,妖精の国,女,14,5245,13355,1,4,175,2.44,55,29,平均,5473,5473,88,88,88,100,160
44012,リャンハオ,双蹴の繰り手,4,光,突撃,少数民族の国,女,20,7411,8016,1,2,11,1.53,74,55,早熟,5239,5239,85,85,85,100,180
44013,ホワイトミル,白雫の紳士,4,光,回復,お菓子の国,男,19,4875,11425,1,6,170,2.22,50,44,平均,5146,5146,100,100,100,140,100
44014,エッタ,軌条の繋ぎ手,4,光,打撃,機械の国,女,15,10542,8901,3,1,35,3.45,54,53,晩成,2580,7740,90,90,90,100,140
44015,ポワニエ,握心たる両手,4,光,弓矢,エレキの国,不明,?,6475,7219,4,1,160,2.50,50,40,平均,2888,11550,89,89,89,100,150
44016,レミン,鋼鉄の憧羽,4,光,突撃,機械の国,女,14,9125,9905,2,1,45,3.15,57,63,平均,3144,6289,89,89,89,100,150
44017,ステルラート,照黎の綺羅星,4,光,銃弾,エレキの国,男,22,6975,6975,5,1,170,2.80,60,40,晩成,2491,12455,89,89,89,100,150
44018,ウルリカ,峙護の彫刻柱,4,光,打撃,西部の国,女,17,11795,6590,4,1,15,3.68,45,84,平均,1791,7163,92,92,92,100,130
44019,ドリアード,神木の精霊,4,光,回復,ドラポの国,女,?,4254,7298,3,1,160,2.88,40,40,早熟,2534,7602,100,100,100,140,100
44020,ソレル,菱台の黄金弓,4,光,弓矢,魔法の国,女,18,5895,13791,1,1,170,2.41,54,43,晩成,5722,5722,88,88,88,100,160
44021,ヴィルトテス,鱗痕を持つ者,4,光,魔法,砂漠の国,男,16,5175,8700,4,1,155,3.25,40,30,晩成,2677,10708,86,86,86,100,170
44022,クチーテル,呪糸裁つ魔鋏,4,光,斬撃,魔法の国,女,16,9420,11643,1,3,20,2.24,75,45,晩成,5198,5198,90,90,90,100,140
44023,ミルフィーノ,溢愛の注ぎ手,4,光,魔法,お菓子の国,男,26,5105,15011,1,1,180,2.79,60,44,早熟,5380,5380,84,84,84,100,190
44024,トイトイ,玩恋の片心瞳,4,光,突撃,雪の国,女,19,9165,9865,1,4,30,2.03,69,55,平均,4860,4860,90,90,90,100,140
44025,ククラーム,絡み衝く蜜弾,4,光,銃弾,動物の国,女,16,5810,8580,2,1,120,2.26,46,38,平均,3796,7593,92,92,92,100,130
44026,ちゃがまる,鉄面の茶釜蓋,4,光,打撃,和の国,男,23,11642,8865,1,1,15,2.62,50,83,早熟,3384,3384,90,90,90,100,140
44027,ライハイト,煌謐なる傑晶,4,光,斬撃,エレキの国,男,27,8150,9750,2,2,110,2.50,50,45,平均,3900,7800,88,88,88,100,160
44028,アスター,昔日を想う者,4,光,斬撃,西部の国,男,18,7600,7600,2,1,20,2.25,59,61,早熟,3378,6756,90,90,90,100,140
44029,アングリア,轟怒の輝砲晶,4,光,銃弾,エレキの国,女,13,6636,9822,4,1,170,3.55,45,45,晩成,2767,11067,92,92,92,100,130
44030,ラティーフ,夢折れぬ煌刃,4,光,斬撃,砂漠の国,男,15,10044,10383,1,2,20,2.18,64,59,晩成,4763,4763,89,89,89,100,150
44031,シージェ,星読みの導師,4,光,魔法,少数民族の国,男,11,3914,9207,2,2,170,2.49,47,35,早熟,3698,7395,84,84,84,100,185
44032,クラルテ,波に射す海月,4,光,弓矢,常夏の国,女,19,6901,11816,1,1,145,2.39,59,39,早熟,4944,4944,90,90,90,100,140
44033,アナスタシア,古今を接ぐ指,4,光,弓矢,少数民族の国,女,17,5294,7789,3,1,165,2.51,51,42,早熟,3103,9310,92,92,92,100,130
44034,ランソニー,泰なる副寮長,4,光,魔法,死者の国,男,18,5050,11425,2,3,165,2.70,50,37,平均,4231,8463,84,84,84,100,190
